verb;
сообщать;0
сообщить;0
принять;0
задержать;0
провести;0
пройти;0
писать;0
начать;0
считать;0
погибнуть;0
сделать;0
найти;0
появиться;0
отказаться;0
признать;0
удаться;0
создать;0
решить;0
предложить;0
начаться;0
добавить;0
использовать;0
проходить;0
подозревать;0
запретить;0
утверждать;0
подписать;0
пытаться;0
пострадать;0
хотеть;0
обвинять;0
написать;0
вести;0
арестовать;0
проводить;0
принимать;0
выпустить;0
пояснить;0
обвинить;0
позволить;0
требовать;0
стоить;0
прийтись;0
упасть;0
представлять;0
потребовать;0
призвать;0
достигнуть;0
пообещать;0
построить;0
помочь;0
организовать;0
приговорить;0
попросить;0
объяснить;0
следовать;0
осудить;0
выиграть;0
скончаться;0
предлагать;0
делать;0
позволять;0
поддержать;0
прекратить;0
продолжаться;0
продолжать;0
завершиться;0
увеличить;0
похитить;0
освободить;0
запустить;0
нападать;0
попытаться;0
согласиться;0
привлечь;0
основать;0
поддерживать;0
захватить;0
видеть;0
продолжить;0
разрешить;0
устроить;0
одобрить;0
увеличиться;0
потерять;0
просить;0
оценить;0
допустить;0
возникнуть;0
прийти;0
превышать;0
грозить;0
прокомментировать;0
увидеть;0
победить;0
комментировать;0
снизиться;0
объединить;0
уничтожить;1
убить;0
превысить;0
сократить;0
договориться;0
утвердить;0
обязать;0
остановить;0
умереть;0
добиться;0
пользоваться;0
забить;0
снизить;0
обещать;0
вывести;0
потратить;0
надеяться;0
приостановить;0
рассчитывать;0
угрожать;0
судить;0
начинать;0
ждать;0
спасти;0
проиграть;0
закрыть;0
напасть;1
искать;0
вынудить;0
приходиться;0
произвести;0
застрелить;1
украсть;0
создавать;0
сократиться;0
бороться;0
отказываться;0
обыграть;1
ликвидировать;0
нарушить;0
родиться;0
помогать;0
приступить;0
повысить;0
закончиться;0
появляться;0
счесть;0
повредить;1
отказать;0
призывать;0
заблокировать;0
завоевать;0
предупредить;0
понять;0
достигать;0
сотрудничать;0
возобновить;0
рекомендовать;0
подорожать;1
выпускать;0
заставить;0
защитить;1
взорвать;1
сформировать;0
поймать;0
врезаться;1
понимать;0
оценивать;0
воспользоваться;0
способствовать;0
ударить;1
нарушать;1
потребоваться;0
отрицать;0
избить;1
протестовать;1
лишиться;0
производить;0
пожаловаться;1
опасаться;0
заподозрить;0
применить;0
отклонить;0
объяснять;0
бросить;0
строить;0
запрещать;0
последовать;0
перестать;0
разрушить;1
защищать;0
предпринять;0
обжаловать;0
закончить;0
обстрелять;1
забросить;0
перекрыть;0
загореться;0
опуститься;0
потерпеть;1
блокировать;0
добиваться;0
страдать;1
пригрозить;0
стрелять;0
посчитать;0
развивать;0
лидировать;1
раскритиковать;0
атаковать;1
обновить;0
отвергнуть;0
образоваться;0
изучить;0
предотвратить;1
помешать;0
решать;0
проникнуть;0
признавать;0
обрушиться;1
наказать;0
добавлять;0
присвоить;0
усилить;0
остановиться;0
чувствовать;0
применять;0
постановить;0
спровоцировать;1
требоваться;0
изучать;0
заказать;0
разыскивать;0
подарить;1
возникать;0
приходить;0
посоветовать;0
оправдать;0
прервать;0
устраивать;0
выстрелить;0
улучшить;1
сорвать;0
предупреждать;0
привлекать;1
инициировать;0
расстрелять;1
стремиться;0
исчезнуть;1
любить;1
решаться;0
изготовить;0
мешать;1
жаловаться;1
начинаться;0
ограбить;1
верить;0
сработать;1
возвести;1
ворваться;1
желать;0
удаваться;1
охранять;0
приниматься;0
падать;0
понадобиться;0
противоречить;0
поздравить;1
нуждаться;0
пожелать;0
разобраться;1
придумать;1
придерживаться;0
объединять;0
поблагодарить;1
выручить;1
сломать;1
уменьшиться;0
образовать;0
развиваться;1
допускать;0
бояться;1
поразить;1
уличить;1
соблюдать;0
угнать;0
продолжиться;0
разгромить;1
проанализировать;0
стараться;1
снижаться;0
учредить;0
тратить;0
инвестировать;0
бить;1
уменьшить;0
разбить;1
критиковать;0
распорядиться;0
пояснять;0
преследовать;0
захотеть;0
возобновиться;0
взломать;0
отвергать;0
воевать;1
дисквалифицировать;0
предпочитать;0
исследовать;0
хватать;0
убивать;1
подорвать;1
понравиться;1
настроить;1
заставлять;0
курировать;0
обойти;0
наступить;0
препятствовать;0
финансировать;0
скрывать;1
отражать;0
подвести;0
находить;0
терять;1
ужесточить;1
увеличиваться;0
употреблять;0
предпринимать;0
разрешать;0
выслать;0
повышать;0
заинтересоваться;1
присудить;0
приказать;0
спрятать;0
нравиться;1
побить;1
отвести;0
выигрывать;1
опередить;1
обмануть;1
почувствовать;0
подключить;0
забыть;1
увеличивать;0
заслужить;1
решиться;1
схватить;0
сэкономить;1
казнить;1
пресечь;0
противостоять;1
оккупировать;1
закрывать;0
